,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,25,Private,230292,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50k
1,36,Private,90159,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,32,United-States,<=50k
2,40,Private,175398,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50k
3,56,Self-emp-not-inc,53366,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,United-States,<=50k
4,50,Private,46155,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50k
5,55,Private,61708,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,6418,0,50,United-States,>50k
6,32,Local-gov,112650,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50k
7,41,Private,173682,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,<=50k
8,28,Private,160981,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,52,United-States,<=50k
9,53,Private,72257,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50k
10,26,,182332,Assoc-voc,11,Married-civ-spouse,,Wife,White,Female,0,0,40,United-States,<=50k
11,60,Local-gov,48788,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,5455,0,55,United-States,>50k
12,21,Private,417668,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50k
13,29,Private,107458,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50k
14,73,Private,147551,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,United-States,<=50k
15,43,Self-emp-inc,33729,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50k
16,45,Private,101977,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50k
17,35,,374716,9th,5,Married-civ-spouse,,Wife,White,Female,0,0,35,United-States,<=50k
18,36,Private,214378,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50k
19,25,Private,111243,HS-grad,9,Never-married,Sales,Other-relative,White,Female,0,0,50,United-States,<=50k
20,38,Private,252947,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50k
21,30,Local-gov,118500,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50k
22,49,Private,195612,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,>50k
23,41,Local-gov,174575,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50k
24,27,Private,190391,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50k
25,64,Private,166715,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,<=50k
26,41,Self-emp-not-inc,142725,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50k
27,37,Private,73471,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,47,United-States,<=50k
28,51,Private,241745,5th-6th,3,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,40,Mexico,<=50k
29,35,Private,316141,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,7443,0,40,United-States,>50k
30,61,Local-gov,248595,1st-4th,2,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50k
31,52,Private,90189,7th-8th,4,Divorced,Priv-house-serv,Own-child,Black,Female,0,0,16,United-States,<=50k
32,40,Private,205195,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50k
33,20,Private,148940,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50k
34,52,Local-gov,298035,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50k
35,50,Private,154728,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50k
36,49,Private,166809,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50k
37,36,State-gov,97136,Bachelors,13,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50k
38,33,Private,347623,Masters,14,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<=50k
39,40,Private,117917,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,50,United-States,<=50k
40,45,Private,266860,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50k
41,22,Private,71864,Some-college,10,Never-married,Craft-repair,Own-child,White,Female,0,0,35,United-States,<=50k
42,47,Private,158451,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,<=50k
43,24,Private,229826,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50k
44,19,Private,121788,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50k
45,40,Private,151365,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50k
46,40,Private,360884,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,50,United-States,<=50k
47,54,Private,36480,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,15024,0,50,United-States,>50k
48,43,Self-emp-not-inc,116666,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,35,United-States,<=50k
49,63,Local-gov,214143,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Cuba,<=50k
50,18,Private,45316,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50k
51,19,Private,311974,1st-4th,2,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,Mexico,<=50k
52,49,Self-emp-not-inc,48495,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50k
53,27,Private,115945,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50k
54,49,Local-gov,170846,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50k
55,60,Private,142922,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50k
56,71,,181301,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,<=50k
57,34,Private,286675,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50k
58,29,Private,233168,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,46,United-States,<=50k
59,30,Private,177304,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,<=50k
60,46,Private,336984,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,17,United-States,<=50k
61,32,Self-emp-not-inc,379412,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50k
62,25,Private,180778,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,75,United-States,<=50k
63,25,Private,141876,Masters,14,Never-married,Prof-specialty,Unmarried,White,Male,0,0,45,,<=50k
64,22,Private,228306,Some-college,10,Married-AF-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50k
65,32,Private,329993,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50k
66,40,Private,247469,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,United-States,<=50k
67,51,Private,673764,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,27828,0,40,United-States,>50k
68,20,Private,155775,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,30,United-States,<=50k
69,34,Private,81223,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,48,United-States,<=50k
70,40,Private,236021,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50k
71,34,State-gov,103371,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50k
72,19,Private,199480,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,<=50k
73,53,Private,152657,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50k
74,42,Federal-gov,460214,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50k
75,38,Private,91039,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,<=50k
76,41,Private,197372,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50k
77,64,,267198,Prof-school,15,Married-civ-spouse,,Husband,White,Male,0,0,16,United-States,<=50k
78,30,State-gov,111883,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50k
